sku_id,cargotype_id
006f74bde2457c4578483384087fad75,290
006f74bde2457c4578483384087fad75,601
006f74bde2457c4578483384087fad75,621
006f74bde2457c4578483384087fad75,950
006f74bde2457c4578483384087fad75,970
008c11db3113132d53961fb1e691e070,290
008c11db3113132d53961fb1e691e070,440
008c11db3113132d53961fb1e691e070,441
008c11db3113132d53961fb1e691e070,460
008c11db3113132d53961fb1e691e070,480
008c11db3113132d53961fb1e691e070,520
008c11db3113132d53961fb1e691e070,690
00f5a03e34b6ed0b00d246e94379ecc9,200
00f5a03e34b6ed0b00d246e94379ecc9,290
00f5a03e34b6ed0b00d246e94379ecc9,310
00f5a03e34b6ed0b00d246e94379ecc9,340
00f5a03e34b6ed0b00d246e94379ecc9,640
00f5a03e34b6ed0b00d246e94379ecc9,691
01739f870ec136dbdd9b77bf99dcc1bc,291
01739f870ec136dbdd9b77bf99dcc1bc,305
01739f870ec136dbdd9b77bf99dcc1bc,340
01bfc11a3b06243b5dd84ae7dcdfa8a0,291
01bfc11a3b06243b5dd84ae7dcdfa8a0,360
01bfc11a3b06243b5dd84ae7dcdfa8a0,950
024d2d9d2a90ab3d70bfd2a33291b9fa,290
026146a98377deebacda89ab5af9d825,200
026146a98377deebacda89ab5af9d825,290
026146a98377deebacda89ab5af9d825,360
026146a98377deebacda89ab5af9d825,640
026146a98377deebacda89ab5af9d825,691
033a1dff50b9a29b2fed234b72ba542d,290
033a1dff50b9a29b2fed234b72ba542d,600
033a1dff50b9a29b2fed234b72ba542d,621
033a1dff50b9a29b2fed234b72ba542d,950
033a1dff50b9a29b2fed234b72ba542d,970
03792096ffa3e48a6124162e1a2d8275,291
03792096ffa3e48a6124162e1a2d8275,360
03792096ffa3e48a6124162e1a2d8275,490
03aa37723239de235c7cd6a084169f6b,291
03aa37723239de235c7cd6a084169f6b,600
03aa37723239de235c7cd6a084169f6b,621
03aa37723239de235c7cd6a084169f6b,950
03aa37723239de235c7cd6a084169f6b,970
03f21b31f6179cd573a490cfa1ca2d48,290
03f21b31f6179cd573a490cfa1ca2d48,410
03f21b31f6179cd573a490cfa1ca2d48,480
03f21b31f6179cd573a490cfa1ca2d48,485
03f21b31f6179cd573a490cfa1ca2d48,520
03f21b31f6179cd573a490cfa1ca2d48,670
03f21b31f6179cd573a490cfa1ca2d48,690
041117d6557697cf94da9fdb94e582c9,290
041117d6557697cf94da9fdb94e582c9,600
041117d6557697cf94da9fdb94e582c9,611
041117d6557697cf94da9fdb94e582c9,950
041117d6557697cf94da9fdb94e582c9,960
041117d6557697cf94da9fdb94e582c9,970
041117d6557697cf94da9fdb94e582c9,980
0413f9dfa8f6537dfda552ad0825de0d,290
0413f9dfa8f6537dfda552ad0825de0d,340
0417ae58ca8259cadafcd282816fd0a3,290
0417ae58ca8259cadafcd282816fd0a3,600
0417ae58ca8259cadafcd282816fd0a3,621
0417ae58ca8259cadafcd282816fd0a3,950
0417ae58ca8259cadafcd282816fd0a3,970
04444811d5ed0d4bd4ca154acdbc1bd2,291
04444811d5ed0d4bd4ca154acdbc1bd2,340
04444811d5ed0d4bd4ca154acdbc1bd2,950
0556e15f5dcf4a7851f551170502ecdd,290
0556e15f5dcf4a7851f551170502ecdd,410
0556e15f5dcf4a7851f551170502ecdd,441
0556e15f5dcf4a7851f551170502ecdd,490
0556e15f5dcf4a7851f551170502ecdd,690
0588e43ea7ad1ef603059269db6467eb,291
0588e43ea7ad1ef603059269db6467eb,320
0588e43ea7ad1ef603059269db6467eb,340
0588e43ea7ad1ef603059269db6467eb,410
0588e43ea7ad1ef603059269db6467eb,480
0588e43ea7ad1ef603059269db6467eb,485
05e307f7926114bfa2a8be7873dcd312,290
05e307f7926114bfa2a8be7873dcd312,320
05e307f7926114bfa2a8be7873dcd312,330
06076bee03b035cb460ca9cb680d76f7,292
06076bee03b035cb460ca9cb680d76f7,320
06076bee03b035cb460ca9cb680d76f7,340
06076bee03b035cb460ca9cb680d76f7,410
06076bee03b035cb460ca9cb680d76f7,480
06076bee03b035cb460ca9cb680d76f7,485
06347249ff27e8d8250fe57b9749480a,290
06347249ff27e8d8250fe57b9749480a,400
06347249ff27e8d8250fe57b9749480a,410
06347249ff27e8d8250fe57b9749480a,480
06347249ff27e8d8250fe57b9749480a,485
06347249ff27e8d8250fe57b9749480a,520
0634a3ce6b2050c539818c4af4b23ee3,291
0634a3ce6b2050c539818c4af4b23ee3,320
0634a3ce6b2050c539818c4af4b23ee3,360
0634a3ce6b2050c539818c4af4b23ee3,691
0634a3ce6b2050c539818c4af4b23ee3,801
06656af258b524e9cd126824a1f02d9b,290
06656af258b524e9cd126824a1f02d9b,340
066c48eee0999e64db512b1060ba7a02,290
066c48eee0999e64db512b1060ba7a02,600
066c48eee0999e64db512b1060ba7a02,950
066c48eee0999e64db512b1060ba7a02,960
066c48eee0999e64db512b1060ba7a02,970
07429cb7c6540e6d44bdffcbe7a1cf84,290
07429cb7c6540e6d44bdffcbe7a1cf84,600
07429cb7c6540e6d44bdffcbe7a1cf84,621
07429cb7c6540e6d44bdffcbe7a1cf84,950
07429cb7c6540e6d44bdffcbe7a1cf84,970
0774af0263910ef3285ed470ce5ce547,290
0774af0263910ef3285ed470ce5ce547,441
0774af0263910ef3285ed470ce5ce547,490
0774af0263910ef3285ed470ce5ce547,690
07ebcb44c126a7b89d5d99a230368697,290
085b095a87c0d75bdac8171ea9c53af4,290
085b095a87c0d75bdac8171ea9c53af4,950
085b095a87c0d75bdac8171ea9c53af4,970
08d407daddb98332098f1c22007ea76b,200
08d407daddb98332098f1c22007ea76b,290
08d407daddb98332098f1c22007ea76b,641
08d407daddb98332098f1c22007ea76b,692
09240107e1a1b1648bcc9341f1c71585,290
09240107e1a1b1648bcc9341f1c71585,360
09240107e1a1b1648bcc9341f1c71585,410
09240107e1a1b1648bcc9341f1c71585,480
09240107e1a1b1648bcc9341f1c71585,485
09240107e1a1b1648bcc9341f1c71585,520
092c83b2779af3261545f32c3193b15c,290
